id_lancamento;data;ano;mes;trimestre;grupo_dre;conta_contabil;natureza;valor;filial_id;filial_nome;regiao;centro_custo_id;centro_custo;produto_id;produto_nome;categoria_produto
L004784;2024-01-02;2024;1;Q1;CSP;Custo Serviços Prestados;Despesa;-26465,06;F006;Filial Salvador;Nordeste;CC004;Logística;P003;Consultoria Estratégica;Serviços
L000039;2024-01-03;2024;1;Q1;Despesas Administrativas;Treinamentos;Despesa;-2943,82;F004;Filial Curitiba;Sul;CC007;RH;;;
L000055;2024-01-03;2024;1;Q1;CSP;Custo Serviços Prestados;Despesa;-11370,57;F007;Filial Recife;Nordeste;CC004;Logística;P001;Software Premium;SaaS
L000429;2024-01-03;2024;1;Q1;Despesas Comerciais;Comissões de Vendas;Despesa;-2178,66;F006;Filial Salvador;Nordeste;CC001;Comercial;;;
L000548;2024-01-03;2024;1;Q1;CMV;Frete sobre Compras;Despesa;-2656,13;F005;Filial Porto Alegre;Sul;CC004;Logística;P003;Consultoria Estratégica;Serviços
L000558;2024-01-03;2024;1;Q1;CMV;Frete sobre Compras;Despesa;-5692,55;F001;Matriz São Paulo;Sudeste;CC003;Operações;P010;Implantação;Serviços
L000955;2024-01-03;2024;1;Q1;Impostos sobre Lucro;CSLL;Despesa;-5242,94;F005;Filial Porto Alegre;Sul;CC006;Financeiro;;;
L001055;2024-01-03;2024;1;Q1;Despesas Administrativas;Aluguel;Despesa;-8909,15;F002;Filial Rio de Janeiro;Sudeste;CC005;Tecnologia;;;
L001294;2024-01-03;2024;1;Q1;Despesas Administrativas;Software e SaaS;Despesa;-1347,03;F007;Filial Recife;Nordeste;CC005;Tecnologia;;;
L001486;2024-01-03;2024;1;Q1;CSP;Custo Serviços Prestados;Despesa;-15416,39;F008;Filial Brasília;Centro-Oeste;CC004;Logística;P006;Hardware Servidor;Produtos
L002291;2024-01-03;2024;1;Q1;Despesas Administrativas;Materiais de Escritório;Despesa;-1884,48;F005;Filial Porto Alegre;Sul;CC009;Diretoria;;;
L002656;2024-01-03;2024;1;Q1;Impostos sobre Lucro;IRPJ;Despesa;-10611,07;F003;Filial Belo Horizonte;Sudeste;CC006;Financeiro;;;
L003290;2024-01-03;2024;1;Q1;Receita Bruta;Venda de Serviços;Receita;74241,61;F008;Filial Brasília;Centro-Oeste;CC004;Logística;P007;Equipamento Rede;Produtos
L003751;2024-01-03;2024;1;Q1;Receita Bruta;Venda de Produtos;Receita;148250,43;F003;Filial Belo Horizonte;Sudeste;CC004;Logística;P003;Consultoria Estratégica;Serviços
L003946;2024-01-03;2024;1;Q1;Despesas Comerciais;Marketing e Publicidade;Despesa;-5370,01;F008;Filial Brasília;Centro-Oeste;CC001;Comercial;;;
L004006;2024-01-03;2024;1;Q1;Impostos sobre Lucro;CSLL;Despesa;-12844,82;F003;Filial Belo Horizonte;Sudeste;CC006;Financeiro;;;
L004498;2024-01-03;2024;1;Q1;Receita Bruta;Receita de Assinaturas;Receita;42354,42;F002;Filial Rio de Janeiro;Sudeste;CC006;Financeiro;P005;Treinamento Corporativo;Serviços
L004717;2024-01-03;2024;1;Q1;CSP;Custo Serviços Prestados;Despesa;-24246,15;F009;Filial Manaus;Norte;CC003;Operações;P008;Suporte Técnico;Serviços
L000057;2024-01-04;2024;1;Q1;Despesas Administrativas;Treinamentos;Despesa;-4349,09;F002;Filial Rio de Janeiro;Sudeste;CC007;RH;;;
L000068;2024-01-04;2024;1;Q1;CMV;Custo Embalagem;Despesa;-11476,36;F005;Filial Porto Alegre;Sul;CC003;Operações;P010;Implantação;Serviços
L000069;2024-01-04;2024;1;Q1;Impostos sobre Lucro;CSLL;Despesa;-9071,85;F007;Filial Recife;Nordeste;CC006;Financeiro;;;
L000422;2024-01-04;2024;1;Q1;CSP;Custo Serviços Prestados;Despesa;-13252,99;F007;Filial Recife;Nordeste;CC003;Operações;P002;Software Standard;SaaS
L000578;2024-01-04;2024;1;Q1;Despesas Financeiras;Juros sobre Empréstimos;Despesa;-8834,03;F006;Filial Salvador;Nordeste;CC006;Financeiro;;;
L001110;2024-01-04;2024;1;Q1;Outras Despesas;Provisões e Contingências;Despesa;-6603,99;F007;Filial Recife;Nordeste;CC006;Financeiro;;;
L001152;2024-01-04;2024;1;Q1;CSP;Custo Serviços Prestados;Despesa;-19459,37;F005;Filial Porto Alegre;Sul;CC004;Logística;P002;Software Standard;SaaS
L001191;2024-01-04;2024;1;Q1;Deduções;PIS/COFINS;Despesa;-19852,55;F001;Matriz São Paulo;Sudeste;CC002;Marketing;P008;Suporte Técnico;Serviços
L001293;2024-01-04;2024;1;Q1;Despesas Comerciais;Fretes sobre Vendas;Despesa;-6747,32;F008;Filial Brasília;Centro-Oeste;CC001;Comercial;;;
L001370;2024-01-04;2024;1;Q1;Despesas Administrativas;Treinamentos;Despesa;-3584,62;F009;Filial Manaus;Norte;CC007;RH;;;
L002709;2024-01-04;2024;1;Q1;Despesas Administrativas;Viagens e Hospedagem;Despesa;-2402,16;F003;Filial Belo Horizonte;Sudeste;CC005;Tecnologia;;;
L002822;2024-01-04;2024;1;Q1;Receita Bruta;Venda de Serviços;Receita;64129,28;F007;Filial Recife;Nordeste;CC005;Tecnologia;P009;Licença Anual;SaaS
L003488;2024-01-04;2024;1;Q1;Receita Bruta;Venda de Produtos;Receita;132826,3;F009;Filial Manaus;Norte;CC008;Administrativo;P009;Licença Anual;SaaS
L003519;2024-01-04;2024;1;Q1;Impostos sobre Lucro;CSLL;Despesa;-4914,25;F002;Filial Rio de Janeiro;Sudeste;CC006;Financeiro;;;
L003858;2024-01-04;2024;1;Q1;Despesas Administrativas;Treinamentos;Despesa;-797,46;F005;Filial Porto Alegre;Sul;CC007;RH;;;
L003994;2024-01-04;2024;1;Q1;Receita Bruta;Venda de Serviços;Receita;123694,9;F008;Filial Brasília;Centro-Oeste;CC001;Comercial;P010;Implantação;Serviços
L000223;2024-01-05;2024;1;Q1;Despesas Administrativas;Aluguel;Despesa;-16573,91;F003;Filial Belo Horizonte;Sudeste;CC001;Comercial;;;
L001126;2024-01-05;2024;1;Q1;CSP;Custo Serviços Prestados;Despesa;-10502,28;F006;Filial Salvador;Nordeste;CC004;Logística;P008;Suporte Técnico;Serviços
L001135;2024-01-05;2024;1;Q1;Despesas Administrativas;Viagens e Hospedagem;Despesa;-1938,44;F009;Filial Manaus;Norte;CC002;Marketing;;;
L001665;2024-01-05;2024;1;Q1;Despesas Comerciais;Comissões de Vendas;Despesa;-3793,7;F004;Filial Curitiba;Sul;CC002;Marketing;;;
L001745;2024-01-05;2024;1;Q1;Despesas Administrativas;Treinamentos;Despesa;-533,85;F002;Filial Rio de Janeiro;Sudeste;CC008;Administrativo;;;
L002151;2024-01-05;2024;1;Q1;CSP;Custo Serviços Prestados;Despesa;-10178,62;F003;Filial Belo Horizonte;Sudeste;CC004;Logística;P010;Implantação;Serviços
L002275;2024-01-05;2024;1;Q1;Despesas Administrativas;Energia Elétrica;Despesa;-5415,89;F001;Matriz São Paulo;Sudeste;CC004;Logística;;;
L002376;2024-01-05;2024;1;Q1;Despesas Financeiras;Tarifas Bancárias;Despesa;-878,17;F003;Filial Belo Horizonte;Sudeste;CC006;Financeiro;;;
L002673;2024-01-05;2024;1;Q1;Receita Bruta;Receita de Assinaturas;Receita;99774,59;F009;Filial Manaus;Norte;CC007;RH;P008;Suporte Técnico;Serviços
L002675;2024-01-05;2024;1;Q1;Receita Bruta;Venda de Produtos;Receita;125876,72;F005;Filial Porto Alegre;Sul;CC006;Financeiro;P006;Hardware Servidor;Produtos
L002768;2024-01-05;2024;1;Q1;Despesas Administrativas;Treinamentos;Despesa;-925,21;F001;Matriz São Paulo;Sudeste;CC008;Administrativo;;;
L003050;2024-01-05;2024;1;Q1;Despesas Financeiras;Juros sobre Empréstimos;Despesa;-3568,92;F008;Filial Brasília;Centro-Oeste;CC006;Financeiro;;;
L003449;2024-01-05;2024;1;Q1;Deduções;ICMS sobre Vendas;Despesa;-26961,1;F006;Filial Salvador;Nordeste;CC002;Marketing;P003;Consultoria Estratégica;Serviços
L003464;2024-01-05;2024;1;Q1;CMV;Custo Embalagem;Despesa;-6428,93;F004;Filial Curitiba;Sul;CC004;Logística;P001;Software Premium;SaaS
L003572;2024-01-05;2024;1;Q1;CMV;Custo Mão de Obra Direta;Despesa;-32380,82;F008;Filial Brasília;Centro-Oeste;CC004;Logística;P001;Software Premium;SaaS
L003826;2024-01-05;2024;1;Q1;Deduções;Devoluções de Vendas;Despesa;-1803,23;F005;Filial Porto Alegre;Sul;CC005;Tecnologia;P007;Equipamento Rede;Produtos
L004051;2024-01-05;2024;1;Q1;Despesas Administrativas;Energia Elétrica;Despesa;-6631,99;F006;Filial Salvador;Nordeste;CC002;Marketing;;;
L004182;2024-01-05;2024;1;Q1;Despesas Administrativas;Materiais de Escritório;Despesa;-681,78;F004;Filial Curitiba;Sul;CC004;Logística;;;
L004270;2024-01-05;2024;1;Q1;CMV;Custo Matéria-Prima;Despesa;-43156,3;F006;Filial Salvador;Nordeste;CC004;Logística;P004;Consultoria Técnica;Serviços
L004359;2024-01-05;2024;1;Q1;Receitas Financeiras;Rendimentos de Aplicações;Receita;3991,49;F009;Filial Manaus;Norte;CC006;Financeiro;;;
L004672;2024-01-05;2024;1;Q1;Receita Bruta;Venda de Produtos;Receita;200478,76;F007;Filial Recife;Nordeste;CC009;Diretoria;P004;Consultoria Técnica;Serviços
L000612;2024-01-06;2024;1;Q1;Deduções;Devoluções de Vendas;Despesa;-8874,55;F004;Filial Curitiba;Sul;CC004;Logística;P004;Consultoria Técnica;Serviços
L001036;2024-01-06;2024;1;Q1;Despesas Administrativas;Aluguel;Despesa;-13979,41;F008;Filial Brasília;Centro-Oeste;CC007;RH;;;
L001437;2024-01-06;2024;1;Q1;Deduções;PIS/COFINS;Despesa;-18775,87;F005;Filial Porto Alegre;Sul;CC002;Marketing;P001;Software Premium;SaaS
L001668;2024-01-06;2024;1;Q1;Despesas Comerciais;Fretes sobre Vendas;Despesa;-9913,49;F005;Filial Porto Alegre;Sul;CC001;Comercial;;;
L002028;2024-01-06;2024;1;Q1;CSP;Custo Serviços Prestados;Despesa;-23938,52;F005;Filial Porto Alegre;Sul;CC004;Logística;P001;Software Premium;SaaS
L002099;2024-01-06;2024;1;Q1;Despesas Administrativas;Honorários Contábeis;Despesa;-1284,5;F007;Filial Recife;Nordeste;CC008;Administrativo;;;
L002604;2024-01-06;2024;1;Q1;Deduções;Descontos Comerciais;Despesa;-8100,7;F002;Filial Rio de Janeiro;Sudeste;CC005;Tecnologia;P008;Suporte Técnico;Serviços
L002676;2024-01-06;2024;1;Q1;Despesas Administrativas;Aluguel;Despesa;-15618,79;F005;Filial Porto Alegre;Sul;CC006;Financeiro;;;
L003304;2024-01-06;2024;1;Q1;Despesas Administrativas;Treinamentos;Despesa;-928,83;F004;Filial Curitiba;Sul;CC008;Administrativo;;;
L003431;2024-01-06;2024;1;Q1;Despesas Comerciais;Fretes sobre Vendas;Despesa;-2151,96;F006;Filial Salvador;Nordeste;CC002;Marketing;;;
L003834;2024-01-06;2024;1;Q1;Despesas Administrativas;Software e SaaS;Despesa;-4945,06;F003;Filial Belo Horizonte;Sudeste;CC005;Tecnologia;;;
L004317;2024-01-06;2024;1;Q1;Despesas Comerciais;Marketing e Publicidade;Despesa;-3113,6;F005;Filial Porto Alegre;Sul;CC002;Marketing;;;
L004426;2024-01-06;2024;1;Q1;Receitas Financeiras;Juros Recebidos;Receita;2338,84;F005;Filial Porto Alegre;Sul;CC006;Financeiro;;;
L004889;2024-01-06;2024;1;Q1;Receita Bruta;Receita de Assinaturas;Receita;72001,85;F003;Filial Belo Horizonte;Sudeste;CC005;Tecnologia;P001;Software Premium;SaaS
L000419;2024-01-07;2024;1;Q1;Outras Receitas;Venda de Ativo Imobilizado;Receita;22504,31;F003;Filial Belo Horizonte;Sudeste;CC007;RH;;;
L000765;2024-01-07;2024;1;Q1;CMV;Custo Matéria-Prima;Despesa;-57788,22;F009;Filial Manaus;Norte;CC004;Logística;P003;Consultoria Estratégica;Serviços
L000815;2024-01-07;2024;1;Q1;Receita Bruta;Venda de Produtos;Receita;58057,53;F005;Filial Porto Alegre;Sul;CC008;Administrativo;P002;Software Standard;SaaS
L000871;2024-01-07;2024;1;Q1;Deduções;ICMS sobre Vendas;Despesa;-34656,06;F008;Filial Brasília;Centro-Oeste;CC002;Marketing;P008;Suporte Técnico;Serviços
L000936;2024-01-07;2024;1;Q1;Despesas Comerciais;Fretes sobre Vendas;Despesa;-7836,85;F005;Filial Porto Alegre;Sul;CC002;Marketing;;;
L001169;2024-01-07;2024;1;Q1;Despesas Administrativas;Software e SaaS;Despesa;-3424,57;F002;Filial Rio de Janeiro;Sudeste;CC005;Tecnologia;;;
L001268;2024-01-07;2024;1;Q1;Receitas Financeiras;Juros Recebidos;Receita;2119,21;F003;Filial Belo Horizonte;Sudeste;CC006;Financeiro;;;
L002117;2024-01-07;2024;1;Q1;Receita Bruta;Venda de Produtos;Receita;116233,51;F005;Filial Porto Alegre;Sul;CC007;RH;P002;Software Standard;SaaS
L002285;2024-01-07;2024;1;Q1;Deduções;PIS/COFINS;Despesa;-5685,93;F006;Filial Salvador;Nordeste;CC009;Diretoria;P010;Implantação;Serviços
L002511;2024-01-07;2024;1;Q1;Despesas Comerciais;Marketing e Publicidade;Despesa;-14730,41;F003;Filial Belo Horizonte;Sudeste;CC002;Marketing;;;
L002577;2024-01-07;2024;1;Q1;Despesas Financeiras;Tarifas Bancárias;Despesa;-2107,19;F006;Filial Salvador;Nordeste;CC006;Financeiro;;;
L002639;2024-01-07;2024;1;Q1;CMV;Custo Mão de Obra Direta;Despesa;-13440,21;F007;Filial Recife;Nordeste;CC003;Operações;P008;Suporte Técnico;Serviços
L004036;2024-01-07;2024;1;Q1;Deduções;ICMS sobre Vendas;Despesa;-18573,12;F009;Filial Manaus;Norte;CC008;Administrativo;P006;Hardware Servidor;Produtos
L004363;2024-01-07;2024;1;Q1;Despesas Comerciais;Comissões de Vendas;Despesa;-14381,04;F006;Filial Salvador;Nordeste;CC001;Comercial;;;
L000014;2024-01-08;2024;1;Q1;Deduções;ISS;Despesa;-3923,08;F001;Matriz São Paulo;Sudeste;CC006;Financeiro;P007;Equipamento Rede;Produtos
L000245;2024-01-08;2024;1;Q1;CSP;Custo Serviços Prestados;Despesa;-36473,97;F008;Filial Brasília;Centro-Oeste;CC004;Logística;P009;Licença Anual;SaaS
L000530;2024-01-08;2024;1;Q1;Despesas Administrativas;Aluguel;Despesa;-10765,02;F009;Filial Manaus;Norte;CC007;RH;;;
L000642;2024-01-08;2024;1;Q1;Outras Despesas;Provisões e Contingências;Despesa;-4217,03;F004;Filial Curitiba;Sul;CC003;Operações;;;
L001011;2024-01-08;2024;1;Q1;Receita Bruta;Venda de Serviços;Receita;151010,26;F007;Filial Recife;Nordeste;CC007;RH;P006;Hardware Servidor;Produtos
L001821;2024-01-08;2024;1;Q1;Outras Receitas;Venda de Ativo Imobilizado;Receita;8270,68;F001;Matriz São Paulo;Sudeste;CC001;Comercial;;;
L002180;2024-01-08;2024;1;Q1;Receita Bruta;Venda de Serviços;Receita;89078,3;F006;Filial Salvador;Nordeste;CC006;Financeiro;P005;Treinamento Corporativo;Serviços
L002641;2024-01-08;2024;1;Q1;CMV;Custo Mão de Obra Direta;Despesa;-41909,7;F008;Filial Brasília;Centro-Oeste;CC004;Logística;P008;Suporte Técnico;Serviços
L002703;2024-01-08;2024;1;Q1;Receita Bruta;Venda de Produtos;Receita;113733,54;F008;Filial Brasília;Centro-Oeste;CC004;Logística;P007;Equipamento Rede;Produtos
L003469;2024-01-08;2024;1;Q1;Despesas Financeiras;Juros sobre Empréstimos;Despesa;-4994,91;F004;Filial Curitiba;Sul;CC006;Financeiro;;;
L003579;2024-01-08;2024;1;Q1;CMV;Custo Matéria-Prima;Despesa;-40913,18;F005;Filial Porto Alegre;Sul;CC004;Logística;P005;Treinamento Corporativo;Serviços
L004003;2024-01-08;2024;1;Q1;Receita Bruta;Venda de Produtos;Receita;133451,89;F002;Filial Rio de Janeiro;Sudeste;CC008;Administrativo;P001;Software Premium;SaaS
L004050;2024-01-08;2024;1;Q1;Receita Bruta;Venda de Serviços;Receita;83773,55;F007;Filial Recife;Nordeste;CC002;Marketing;P010;Implantação;Serviços
L004144;2024-01-08;2024;1;Q1;Deduções;ISS;Despesa;-5625,1;F007;Filial Recife;Nordeste;CC001;Comercial;P006;Hardware Servidor;Produtos
L004233;2024-01-08;2024;1;Q1;Despesas Administrativas;Viagens e Hospedagem;Despesa;-5487,06;F006;Filial Salvador;Nordeste;CC001;Comercial;;;
L004427;2024-01-08;2024;1;Q1;Receita Bruta;Venda de Serviços;Receita;30859,75;F004;Filial Curitiba;Sul;CC004;Logística;P003;Consultoria Estratégica;Serviços
L004675;2024-01-08;2024;1;Q1;CSP;Custo Serviços Prestados;Despesa;-27132,62;F001;Matriz São Paulo;Sudeste;CC004;Logística;P001;Software Premium;SaaS
L000127;2024-01-09;2024;1;Q1;CMV;Custo Mão de Obra Direta;Despesa;-35382,39;F008;Filial Brasília;Centro-Oeste;CC003;Operações;P002;Software Standard;SaaS
L000187;2024-01-09;2024;1;Q1;CMV;Frete sobre Compras;Despesa;-2064,81;F009;Filial Manaus;Norte;CC003;Operações;P008;Suporte Técnico;Serviços
L000267;2024-01-09;2024;1;Q1;Despesas Administrativas;Aluguel;Despesa;-17239,11;F004;Filial Curitiba;Sul;CC003;Operações;;;
L000362;2024-01-09;2024;1;Q1;Despesas Comerciais;Fretes sobre Vendas;Despesa;-2003,64;F006;Filial Salvador;Nordeste;CC001;Comercial;;;
L000507;2024-01-09;2024;1;Q1;Receita Bruta;Venda de Produtos;Receita;174942,55;F004;Filial Curitiba;Sul;CC001;Comercial;P001;Software Premium;SaaS
L000847;2024-01-09;2024;1;Q1;CMV;Custo Mão de Obra Direta;Despesa;-19714,82;F007;Filial Recife;Nordeste;CC003;Operações;P009;Licença Anual;SaaS
L000930;2024-01-09;2024;1;Q1;Deduções;Devoluções de Vendas;Despesa;-15438,67;F007;Filial Recife;Nordeste;CC004;Logística;P004;Consultoria Técnica;Serviços
L001407;2024-01-09;2024;1;Q1;Despesas Financeiras;Juros sobre Empréstimos;Despesa;-7893,84;F007;Filial Recife;Nordeste;CC006;Financeiro;;;
L001868;2024-01-09;2024;1;Q1;CMV;Custo Matéria-Prima;Despesa;-26148,09;F003;Filial Belo Horizonte;Sudeste;CC004;Logística;P005;Treinamento Corporativo;Serviços
L002029;2024-01-09;2024;1;Q1;Deduções;PIS/COFINS;Despesa;-15390,65;F002;Filial Rio de Janeiro;Sudeste;CC007;RH;P007;Equipamento Rede;Produtos
L002043;2024-01-09;2024;1;Q1;Despesas Administrativas;Software e SaaS;Despesa;-1867,33;F004;Filial Curitiba;Sul;CC005;Tecnologia;;;
L002083;2024-01-09;2024;1;Q1;Receita Bruta;Venda de Serviços;Receita;99474,41;F004;Filial Curitiba;Sul;CC009;Diretoria;P007;Equipamento Rede;Produtos
L002119;2024-01-09;2024;1;Q1;Despesas Administrativas;Viagens e Hospedagem;Despesa;-1058,11;F007;Filial Recife;Nordeste;CC003;Operações;;;
L002548;2024-01-09;2024;1;Q1;CSP;Custo Serviços Prestados;Despesa;-7878,55;F008;Filial Brasília;Centro-Oeste;CC004;Logística;P009;Licença Anual;SaaS
L003100;2024-01-09;2024;1;Q1;Despesas Comerciais;Comissões de Vendas;Despesa;-3963,5;F009;Filial Manaus;Norte;CC001;Comercial;;;
L003113;2024-01-09;2024;1;Q1;Despesas Administrativas;Software e SaaS;Despesa;-1536,45;F008;Filial Brasília;Centro-Oeste;CC005;Tecnologia;;;
L003408;2024-01-09;2024;1;Q1;Despesas Administrativas;Energia Elétrica;Despesa;-3478,12;F003;Filial Belo Horizonte;Sudeste;CC007;RH;;;
L004828;2024-01-09;2024;1;Q1;Impostos sobre Lucro;IRPJ;Despesa;-14743,51;F008;Filial Brasília;Centro-Oeste;CC006;Financeiro;;;
L000181;2024-01-10;2024;1;Q1;Despesas Financeiras;IOF;Despesa;-570,43;F008;Filial Brasília;Centro-Oeste;CC006;Financeiro;;;
L000278;2024-01-10;2024;1;Q1;Receita Bruta;Venda de Serviços;Receita;133298,57;F004;Filial Curitiba;Sul;CC001;Comercial;P004;Consultoria Técnica;Serviços
L000427;2024-01-10;2024;1;Q1;CMV;Custo Matéria-Prima;Despesa;-27254,75;F008;Filial Brasília;Centro-Oeste;CC004;Logística;P005;Treinamento Corporativo;Serviços
L001039;2024-01-10;2024;1;Q1;Despesas Comerciais;Marketing e Publicidade;Despesa;-6912,87;F008;Filial Brasília;Centro-Oeste;CC002;Marketing;;;
L001141;2024-01-10;2024;1;Q1;CMV;Custo Embalagem;Despesa;-4324,07;F006;Filial Salvador;Nordeste;CC004;Logística;P005;Treinamento Corporativo;Serviços
L001256;2024-01-10;2024;1;Q1;Deduções;PIS/COFINS;Despesa;-4145,67;F005;Filial Porto Alegre;Sul;CC004;Logística;P010;Implantação;Serviços
L001764;2024-01-10;2024;1;Q1;CMV;Custo Embalagem;Despesa;-13421,15;F005;Filial Porto Alegre;Sul;CC003;Operações;P008;Suporte Técnico;Serviços
L001968;2024-01-10;2024;1;Q1;Receita Bruta;Venda de Serviços;Receita;65571,44;F003;Filial Belo Horizonte;Sudeste;CC001;Comercial;P002;Software Standard;SaaS
